Comment,Emotion,Comment Length,Word Count,Processed Comment
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear,145,28,knew needed dragging foot combo intimidated language barrier kid nap schedule
im told by horsey people that they are a rare find so i feel quite lucky,joy,72,16,told horsey rare find quite lucky
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,joy,138,28,study find indeed perfect example christian especially latter day saint
i was feeling rebellious so i ate it,anger,36,8,rebellious ate
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,fear,124,20,uncertain motif inbalance committment process counselling reconciliation
i was still feeling weird about the day before,fear,46,9,still weird day
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,joy,139,24,opportunity become smart embrace knowledge learn everything daydreamed learning
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,joy,101,21,useful serf reminder come long way since first day vertigo
i could feel the blood in my veins go cold,anger,42,10,could blood vein go cold
i started to feel super emotional all the time which was so strange,joy,67,13,started super emotional strange
im feeling pretty rebellious right now because im writing this is my engineering class,anger,86,14,pretty rebellious right writing engineering class
i used to feel as if i would be hated and whatever so i kept quiet about god,anger,76,18,used would hated whatever kept quiet god
i feel my life being threatened by illness i lose my mind,fear,57,12,life threatened illness lose mind
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,joy,219,42,hoping theyd far enough ahead u could navigating delighted punching second control headed onto trail wood
i feel so frustrated but i cant tell them i am,anger,46,11,frustrated cant tell
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger,126,29,wanted say something bad vibe hostile didnt think good night
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger,129,25,eye many turn away disgusted self indulgence audacity british woman admit point failure
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy,121,24,incredibly charmed life exciting amazing chapter thing
i feel jealous of everyone who has the chance to meet you everyday,anger,66,13,jealous everyone chance meet everyday
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,anger,101,17,brought privately couple week ago felt targeted frustrated belittled
i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy,joy,149,29,honoured client walk door sometimes first trust brand new one week old bundle joy
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day,joy,93,20,sure great film guess wasnt appreciative long day
i feel suspicious of innanimate objects and as though my house is actually the set of a play or a movie or some kind of model of itself and how did i come to be here and why is that carpet looking up at me like that,fear,215,47,suspicious innanimate object though house actually set play movie kind model come carpet looking
i feel hesitant to be putting the words on this page feeling like every time i hit a key i am tempting fate to take this away from me,fear,133,29,hesitant putting word page every hit key tempting fate take away
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,joy,122,22,watched snow fall accumulate conifer tree shoveling shirt sleeve vigorous
i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,joy,126,25,could successful outcome explored new style kept close remained
i feel glad i can still teach him at home myself,joy,48,11,glad still teach home
im feeling overwhelmed i can just give people the middle finger or tell them to f off,fear,85,17,overwhelmed give middle finger tell f
ive had a feeling of being satisfied with the performance of my car,joy,67,13,satisfied performance car
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,joy,121,26,tend lose water pretty quickly water every day felt race
my flatmate was asking questions about my relationship with my boyfriend,anger,72,11,flatmate asking question relationship boyfriend
i feel honoured that she has chosen to share this with me,joy,57,12,honoured chosen share
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy,271,62,tat u world clever depending u born u born errrr good still would good thing u u dun realise lol noe quite lame hope one read img src http shared
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger,130,28,wonder cast caveman told perfect part insulted complimented
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,joy,113,20,high ecstatic normal feel thousand mile drop unhappy excruciating
i am feeling so festive right now and not just because this was the lovely wintry scene when i walked the dog the other day a href http,joy,135,28,festive right lovely wintry scene walked dog day href http
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,joy,145,29,worked plenty yet find one leaf satisfied way spent another day never back
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger,198,38,sarcastic tonight christian seems enjoy banter every seth apologizes behavior christian tell quite alright lock eye
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,fear,122,25,find agitated kid playing ask play way
im feeling so excited and eager,joy,31,6,excited eager
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger,124,25,issue obvious went chinese yesterday hostile towards
i find that i never stop feeling excited for our company s future,joy,65,13,find never stop excited company future
i sat with dave atell at first trying not to feel rude while the guys were eating,anger,81,17,sat dave atell first trying rude guy eating
im good at hiding my true feelings or blurting them out in sarcastic tones,anger,74,14,good hiding true feeling blurting sarcastic tone
ive been feeling really energetic at night and honestly i needed this,joy,69,12,energetic night honestly needed
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger,79,17,beginning cold figured deserve heinously hot bath
im inclined to believe that im simply too lazy to feel particularly greedy,anger,74,13,inclined believe simply lazy particularly greedy
i feel almost angry that i have been fed like a lab rat for so many years,anger,73,17,almost angry fed lab rat many year
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger,81,16,couldnt however kind bothered didnt pop
i feel insecure all the time,fear,28,6,insecure
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,fear,113,21,said strange uttering word space flight still pretty novel way traveling
i actually feel insulted when the plot goes off on a tangent like that,anger,70,14,actually insulted plot go tangent
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy,230,46,arrived gym ball sunshine made welcomed gym although felt dorky unfit rotund sloth fit environment buffed fit looking fierce looking bloke
i can feel his impatient and i can t stop my body from giving him positive response,anger,83,17,impatient stop body giving positive response
i have had a lot of uncaring men in my life and it still feels strange to have several that call come by and reach out to me when i am at my weakest moments,fear,156,35,lot uncaring men life still feel strange several call come reach weakest moment
i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,fear,140,28,risk vulnerable everyone staring examining every dimple thigh sag arm
i also feel extremely blessed to be marrying into such a loving family,joy,70,13,also extremely blessed marrying loving family
i am your friend then why do i sometime feel so insulted around you,anger,67,14,friend sometime insulted around
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,fear,117,19,also discovered le agitated caffeine craving coping method unnecessary huge
i don t discuss even my feelings for beloved with anyone,joy,56,11,discus even feeling beloved anyone
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,anger,154,33,dissatisfied thing think dissatisfied much changing still bad time
i feel super glued to my bed,joy,28,7,super glued bed
i must say that the initial splash was not too bad but after a few strokes you could feel the cold getting into your bones,anger,122,25,must say initial splash bad stroke could cold getting bone
i woke up today feeling pissed off,anger,34,7,woke today pissed
i went in there feeling a little hostile because it felt like they didnt really care about me,anger,93,18,went hostile felt didnt care
i just feel distressed i dont know why though but i do,fear,54,12,distressed dont though
ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,fear,121,25,anxious nauseous tired also elated night crawl bed
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,anger,168,33,experience normal mood annoyed year old whine baby want held making dinner longer consumed emotion
i get the feeling that the rest of yall are a little appalled about it,anger,70,15,rest yall appalled
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger,86,17,hated useless sometimes even ask havent killed yet
i feel extremely insulted,anger,25,4,extremely insulted
i drove home i was aware of feeling not like myself and then she called to ask if i was ok,joy,90,21,drove home aware called ask ok
i have been conveniently uninformed of the specifics of the situation i am left feeling helpless and wanting more than ever to get away,fear,135,24,conveniently uninformed specific situation left helpless wanting ever away
i am feeling quite pleased with myself as this was something id never done before,joy,81,15,quite pleased something never done
i feel that this was their mistake and they are just being rude,anger,63,13,mistake rude
ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,anger,180,36,played fps game left mentally emotionally dangerous switch important part brain play
i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,joy,165,30,learning purpose working universe continue evolve transcend productive along journey
i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back,fear,97,19,continued way despite bit strange flexy new shoe sweat soaked back
i do find myself feeling anxious seeing what everyone else is doing and feeling that i am not up to part with my peers and or i am stagnate,fear,139,29,find anxious seeing everyone else part peer stagnate
i cannot help but feel a bit anxious on how this delivery will go hopefully another vbac if all goes as planned,fear,111,22,help bit anxious delivery go hopefully another vbac go planned
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,fear,129,27,security character someone else get role afraid well
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,fear,111,28,go back hostel break anxious back see take
i also love seeing a star emerge and i feel like in a few years everyone is gonna know and i can be one of those people who says obnoxious things like bah,anger,154,33,also love seeing star emerge year everyone gon na one say obnoxious thing bah
i am feeling a bit adventurous i put on red lipstick rouge artist and intense from make up for ever,joy,99,20,bit adventurous put red lipstick rouge artist intense ever
i am this thing i have these feelings and i m not afraid to express them and to stand up for what i believe in,fear,110,25,feeling afraid express stand believe
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger,144,27,also selfish excited hitting friend friend make victorious choice
i want be there when she passed away or when she was not feeling good and same with my brother and other grandparents,joy,117,23,passed away good brother grandparent
i spent much of the morning feeling like an impostor or a visitor in someone elses life and uncertain what if anything i should do next,fear,135,26,spent much morning impostor visitor someone el life uncertain anything next
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger,91,18,petty saying shes fucked technically doesnt gift
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,anger,184,35,see always possibility someone might laugh disgusted easier express feeling story boyfriend
i never feel brave and nor do i want to be as i believe that in order to be brave you have to make a conscious choice as to whether you want to be brave or not,joy,159,37,never brave believe order brave conscious choice whether brave
im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy,fear,124,26,bit apprehensive dont note card stand mass talent etsy
i feel like ya allah im scared puff it was fun man then id an idea,fear,66,16,ya allah scared puff fun man idea
i feel like that leaves me as the artistic equivalent of the crack between couch cushions,joy,89,16,leaf artistic equivalent crack couch cushion
i start feeling anxious again,fear,29,5,start anxious
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,anger,198,43,probably lazy lounge around house possibly go pool depends bothered last day go back work yeah
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,anger,99,21,tenge almost anywhere impatient offer
i overhear the victory tune on some geeks ringtone i feel triumphant,joy,68,12,overhear victory tune geek ringtone triumphant
i dont even know how to express how it made me feel these kids were so appreciative of the fact that we were coming there and it was very heavy to think that maybe our music gave them a little something to grasp on to,joy,217,45,dont even express made kid appreciative fact coming heavy think maybe music gave something grasp
i ended up changing my clothes and laying in bed with my eyes closed for the next hour and eventually i started to feel better,joy,126,25,ended changing clothes laying bed eye closed next hour eventually started better
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,joy,137,25,appreciative many happiness pinnacle way non materialistic
i had been feeling was all my fault that i had wronged her and caused her to abandon me,anger,87,19,fault wronged caused abandon
i remember feeling as innocent as she looked that day,joy,53,10,remember innocent looked day
i find im barely breathing and feel a little frantic,fear,52,10,find barely breathing frantic
i can feel their afraid,fear,23,5,afraid
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,anger,103,21,happy report didnt angered urge smack olivia today way felt
i have done music and movie production in the last four years and i feel its time i do fashion which im very passionate about,joy,125,25,done music movie production last four year fashion passionate
i feel like a distracted robot,anger,30,6,distracted robot
i feel it is worthwhile to document it for people who are not familiar with batch files,joy,87,17,worthwhile document familiar batch file
i feel more grounded and less fearful,fear,37,7,grounded le fearful
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,fear,108,21,even sure formulate thought since put slightly overwhelmed
i now feel so determined to smash round and really give her something to be proud of,joy,84,17,determined smash round give something proud
i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,anger,105,24,grouchy day mood world
im hesitant to make suggestions because i feel as if the outcome would not be sincere,joy,85,16,hesitant suggestion outcome would sincere
im really feeling good,joy,22,4,good
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,fear,216,42,head relates workplace irritable someone tiny bit lower status response someone higher making momentarily pressured
i began to feel very afraid of disappointment during the tour just because the rain and fog continued,fear,101,18,began afraid disappointment tour rain fog continued
i had felt kind of ick but just figured it was nerves or feeling anxious,fear,72,15,felt kind ick figured nerve anxious
i was feeling all resentful that id been given such a boring assignment and,anger,75,14,resentful given boring assignment
im feeling bitchy on saturday,anger,29,5,bitchy saturday
i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,joy,96,18,may attempt hair coloring session later brave crazy saturday night
i have been working hard to shake these feelings because being popular or a genre novel or non literary fiction does not make a book any less legitimate or any less something to read and enjoy and analyze,joy,204,38,working hard shake feeling popular genre novel non literary fiction book le legitimate le something read enjoy analyze
i have to say however is that is is awfully difficult to feel glamorous and sensational in all this heat ash stench greasy hair and your basic post yeast infection mode,joy,168,31,say however awfully difficult glamorous sensational heat ash stench greasy hair basic post yeast infection mode
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,anger,116,22,drive home petty thief stolen exposure crudely stuck camera ancient
im not as mad and upset as i was on day but i feel scared now,fear,61,16,mad upset day scared
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger,111,21,went back work agitated lazy transformed state yelled dont
i wish i could say fuck you to people who make me feel insecure for ever to have existed,fear,88,19,wish could say fuck insecure ever existed
i thought i hope our vanquished england failures are watching this and feeling very envious and determined to do everything to improve and maybe one day do something similar before i die,anger,186,32,thought hope vanquished england failure watching envious determined everything improve maybe one day something similar die
i might go get a car wash if i am feeling really generous my car needs it,joy,73,17,might go car wash generous car need
i was feeling apprehensive about my life as a student i felt like i couldnt succeed wouldnt succeed could never succeed,fear,119,21,apprehensive life student felt couldnt succeed wouldnt succeed could never succeed
i feel that i no longer have to do things to look cool,joy,54,13,longer thing look cool
i should somehow feel hesitant about that,fear,41,7,somehow hesitant
i just feel really irritable and everything drives me insane,anger,60,10,irritable everything drive insane
i am not feeling well or grouchy or lazy ill sometimes forego my bed in favor of our futon couch for a little shut eye,joy,118,25,well grouchy lazy ill sometimes forego bed favor futon couch shut eye
i feel less bitchy in the morning,anger,33,7,le bitchy morning
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger,79,18,got resentful tired wanted talk badly
when my relatives and i were in a car going slowly on a frozen road,fear,67,15,relative car going slowly frozen road
i forgive myself for accepting and allowing myself to feel uncertain about my application within this i reveal that i feel uncertain within myself,fear,146,24,forgive accepting allowing uncertain application within reveal uncertain within
i aware and concerned for everyone will give attention not only marriages and deaths but also with equal seriousness to the elderly woman who feels helpless because she does not know which oven to buy,fear,200,35,aware concerned everyone give attention marriage death also equal seriousness elderly woman feel helpless oven buy
when in a car accident where car was total wipe off wipe out,fear,60,13,car accident car total wipe wipe
i feel that each point is equally important than each,joy,53,10,point equally important
i feel that i am getting more and more timid these days,fear,55,12,getting timid day
im feeling agitated again the usual evening mood that is becoming the norm,fear,74,13,agitated usual evening mood becoming norm
i could feel its warmth in the strange stillness and it comforted me,fear,68,13,could warmth strange stillness comforted
i do at times feel a bit strange with my mom ushering her about as though shes her traumatic brain injury is really doing a toll on her mental and physical capacities,fear,166,32,time bit strange mom ushering though shes traumatic brain injury toll mental physical capacity
i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine,joy,110,20,spring fling flower unfurling artistic soul ready sunshine
i feel it s acceptable for me to put forth little effort in today s post,joy,72,16,acceptable put forth effort today post
i feel like ive been sooo distracted and i need to regain my focus again,anger,72,15,sooo distracted need regain focus
i hurt and feel suspicious and definitely get angry,fear,51,9,hurt suspicious definitely angry
i must confess im feeling a little overwhelmed,fear,46,8,must confess overwhelmed
i just feel left out hated extra,anger,32,7,left hated extra
i feel that im fine without him,joy,31,7,fine without
i feel like a paranoid annoyance when in reality she wouldve talked to anyone that way,fear,86,16,paranoid annoyance reality wouldve talked anyone way
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger,112,22,also rude see family doctor approach together ailment
i feel rediculous and petty and yet justified,anger,45,8,rediculous petty yet justified
i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy,166,32,flung suitcase last minute break crossing explode pressurized cabin thus far pretty splendid thing
i feel furious at myself for being so pathetic furious at her for various reasons,anger,81,15,furious pathetic furious various reason
im feeling kinda shaky my mind is full of doubt good luck love you,fear,66,14,kinda shaky mind full doubt good luck love
i sometimes feel very vulnerable,fear,32,5,sometimes vulnerable
i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,joy,108,21,would lucky call material kit site mine beautifully curated
i am not okay with feeling annoyed at myself and at life all the time,anger,69,15,okay annoyed life
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger,101,21,empathize dissatisfied dont way
i am feeling hostile enough that i even hate jim right now,anger,58,12,hostile enough even hate jim right
im feeling pissed and sad right now,anger,35,7,pissed sad right
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear,175,32,wasnt sure could concerned around incredibly apprehensive turning back may well dancing cliff face
i love running because i feel strong and powerful and totally in control,joy,72,13,love running strong powerful totally control
i alternated between wishing i would die and then feeling terrified that something would happen to me leaving my newborn son without a mother,fear,141,24,alternated wishing would die terrified something would happen leaving newborn son without mother
i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays,joy,145,25,conflicted whether follower christ celebrate ever popular pagan originated modern day holiday
i do not like feeling unsure and uncertain,fear,42,8,unsure uncertain
i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more,joy,146,29,lose interest reading story tension resolved happen time yet kept wanting read
i stare and feel utterly helpless,fear,33,6,stare utterly helpless
i feel selfish thinking this way but i feel so lonely at times,anger,62,13,selfish thinking way lonely time
i feel happy now that i am enjoying the changes in my life and looking forward to the unknown good times that are yet to come autumn and winter are suddenly just new steps on the journey,joy,186,37,happy enjoying change life looking forward unknown good time yet come autumn winter suddenly new step journey
i havent been measuring out food drinking nearly enough water tracking any fitness and overall i feel completely shaken and unfocused because i dont feel like my foundation is steady at the moment,fear,196,33,havent measuring food drinking nearly enough water tracking fitness overall completely shaken unfocused dont foundation steady moment
i admit that in the past ive done a lot of time scoffing and feeling superior to christians,joy,91,18,admit past done lot scoffing superior christian
i feel this strategy is worthwhile,joy,34,6,strategy worthwhile
i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,joy,266,50,benefited last year creative future could part information learnt last year already putting practice therefore year session already rather inspiring start
i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past,joy,160,31,opportunity return moz god gracious gracious way giving heat desire despite self doubt uncertainty past
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,joy,210,39,need consolidate step back evaluate purpose blog providing fabulous vicarious life yall live sarcasm always come across print
i don t feel like there was a part before the race where i was stressed out,anger,75,17,part race stressed
ive been feeling disgusted and ashamed,anger,38,6,disgusted ashamed
i don t just mean that the sensations we experience influence our moods i m not simply pointing out that say discomfort in our bodies makes us feel irritable,anger,157,29,mean sensation experience influence mood simply pointing say discomfort body make u irritable
im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia,anger,198,40,afraid already slightly place cru say friend bothered reach ask thing going australia
i am already feeling frantic,fear,28,5,already frantic
i feel as weird criticizing this game as much as i feel weird praising it,fear,73,15,weird criticizing game much weird praising
im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time,anger,195,39,stressed cant much right waiting couple tax return mail letter jason employer taking quite
i feel very comfortable with this decision,joy,42,7,comfortable decision
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger,175,33,quite disorganised distracted wish could answer question seem unable block forget answer logical answer uuuugh
i am feeling remotely dignified tasteful or comfortable,joy,55,8,remotely dignified tasteful comfortable
i can see or feel about it is the divine possibility of being with you away alone for one long golden day at last anywhere,joy,122,25,see divine possibility away alone one long golden day last anywhere
heated discussion with spouse concerning new house,anger,50,7,heated discussion spouse concerning new house
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,257,45,imagine real life scenario would emotionally connected enough someone totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently
i feel that popular bloggers dont post with freedom anymore there will always be part control rare exception is the blog love aesthetics,joy,136,23,popular blogger dont post freedom anymore always part control rare exception blog love aesthetic
i can never fall in love with anyone because my feelings make me too dangerous,anger,78,15,never fall love anyone feeling dangerous
i have written i don t know why this would make me feel shy,fear,59,14,written would shy
i am still numb i question everything about what i feel and terrified to trust all my feelings,fear,94,18,still numb question everything terrified trust feeling
i have to admit i feel shaken up,fear,32,8,admit shaken
i feel scared and worthless when someone doesn t love me,fear,56,11,scared worthless someone love
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger,202,39,forgot take med morning predictably irritable le predictably sitting day thinking ima kill bitch dont hand chocolate cupcake
i somehow feel terrified as though if i dare slow down or walk in place to catch my breath billy blanks will jump out of the screen and yell into my face with all his fierceness,fear,177,36,somehow terrified though dare slow walk place catch breath billy blank jump screen yell face fierceness
i felt jealous when you i feel insecure when,fear,44,9,felt jealous insecure
i am months into the medication and i feel fantastic,joy,52,10,month medication fantastic
i over think you think i really feel insecure,fear,45,9,think think insecure
occured while preparing for a midterm in social welfare that i thought was going to be very hard and felt unprepared for,fear,120,22,occured preparing midterm social welfare thought going hard felt unprepared
i was feeling energetic and strong,joy,34,6,energetic strong
i just really need the money right now and i feel like some greedy nasty aunt for not wanting to hand everything over,anger,117,23,need money right greedy nasty aunt wanting hand everything
i entered the temple feeling vaguely terrified,fear,46,7,entered temple vaguely terrified
i feel like i was a rude ass hole at hookah,anger,43,11,rude as hole hookah
i do sometimes feel like im in this strange in between world,fear,60,12,sometimes strange world
i never feel that popular,joy,25,5,never popular
i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,fear,138,26,going add photo today thank dear support overwhelmed different moment
i am sure the pleasure of living in the open air with the sky for a roof and the ground for a table is part of the same feeling it is the savage returning to his wild and native habits,anger,184,40,sure pleasure living open air sky roof ground table part savage returning wild native habit
i feel this is doubtful,fear,23,5,doubtful
i get involved into a tale of good versus evil i want to feel afraid of the dark to a certain extent,fear,100,22,involved tale good versus evil afraid dark certain extent
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,fear,137,29,talk limited phone current arrangment hesitant bring
i am feeling it and it s really ok,joy,34,9,ok
im just feeling strangely indecisive and also because i dont really believe that,fear,80,13,strangely indecisive also dont believe
i feel like my very own very little barbie doll i get to decorate myself up i hated heels before but thats all i wear now,anger,121,26,barbie doll decorate hated heel thats wear
i feel like the character precious,joy,34,6,character precious
i admit that with all the thoughts that go through my head i feel doubtful at times coz im scared,fear,97,20,admit thought go head doubtful time coz scared
i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,fear,130,29,doubtful even struggling bit faith even time seem dark alone god
i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger,93,19,see friend part leaving bedroom could dangerous
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,fear,159,31,still expect piece world afraid come close place expectation upon fear hell disappoint
i couldn t feel anything other than some strange tugging so i was relieved to say the least,fear,91,18,anything strange tugging relieved say least
ive had two shots of lupron and im feeling fine,joy,47,10,two shot lupron fine
im already not feeling terrific,joy,31,5,already terrific
i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too,joy,204,40,worked today writing making sure rest house perfect could peaceful sense order pm linda writing always make better accomplished
i rarely feel hesitant to say something sometimes even too much,fear,63,11,rarely hesitant say something sometimes even much
i feel like affirmation however petty is what i really need,anger,59,11,affirmation however petty need
i dont know what it is but i have been feeling less paranoid,fear,60,13,dont le paranoid
i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations,joy,121,24,maybe something convinced nvm state mind due deliberation
i hate feeling so indecisive about things because i keep my emotions under lock and key,fear,87,16,hate indecisive thing keep emotion lock key
i feel like the thing im most nervous about is having two kids,fear,62,13,nervous two kid
i feel any artist that puts forth a piece of work even ones i do not agree with should be respected even if it s just for the sake of them overcoming the shackles of our society s norms,joy,185,39,artist put forth piece work even one agree respected even sake overcoming shackle society norm
i feel so blessed that i am able to leave there,joy,47,11,blessed able leave
i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,fear,218,40,remember beauty truly eye beholder see beautiful compliment statement valuable find person kick someone vulnerable
i feel fearful,fear,14,3,fearful
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear,181,37,set mind wanting specific item needing specific event specific find ill end spending pressured constraint
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger,93,19,reason wonder confused angered say youre selfish say youre cold
im getting things done that i really need to and i feel good about it,joy,69,15,getting thing done need good
im guessing with everyone standing there she was feeling timid about moving through the crowd again,fear,99,16,guessing everyone standing timid moving crowd
i feel more resolved and less like smoking my lungs today are obviously not very happy with me,joy,94,18,resolved le smoking lung today obviously happy
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,fear,86,13,would veer utterly terrified utterly disorientated utterly queasy
i was feeling a bit rebellious today,anger,36,7,bit rebellious today
i feel so rich when i pass by you i see a penny,joy,47,13,rich pas see penny
i know there are days in which you feel distracted,anger,50,10,day distracted
i feel energetic and fresh and the great things is my eye sight has improved a lot,joy,82,17,energetic fresh great thing eye sight improved lot
i actually feel hopeful today,joy,29,5,actually hopeful today
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy,115,22,walk whole distance sampled four five stretch came home charmed experience
i nodded proud of my decision to procure a pump feeling slightly smug,joy,69,13,nodded proud decision procure pump slightly smug
i cant help but feel a little jubilant as i walk through the arrivals gate,joy,74,15,cant help jubilant walk arrival gate
i hadnt read on a blog before and you guys i feel thrilled that i know you at all,joy,81,19,hadnt read blog guy thrilled
i feel like being sociable anymore,joy,34,6,sociable anymore
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger,104,21,market somewhat dangerous position trader end wrong side right
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,92,20,quite mellow wanted soft easy look wear beginning cold
